BioSample,lat,long,Organism
CCGPMC010_B2213,38.797501,-119.773316,59-Ursus
CCGPMC019b_B2464,41.012526,-120.890294,59-Ursus
CCGPMC019b_B2453,40.554706,-122.766964,59-Ursus
CCGPMC010_B1834,40.818001,-123.818009,59-Ursus
CCGPMC010_B2252,39.400133,-120.400949,59-Ursus
CCGPMC010_B1784,39.043121,-122.463134,59-Ursus
CCGPMC010_B1828,35.083026,-118.528608,59-Ursus
CCGPMC010_B1835,34.086282,-116.917816,59-Ursus
CCGPMC010_B2194,39.100572,-121.190063,59-Ursus
CCGPMC010_B1197,34.144061,-116.998258,59-Ursus
CCGPMC019b_B1302,39.356574,-122.705711,59-Ursus
